Loan Date Quarter,BorrowerState,LoanAmount
2007-Q4,AZ,611150
2007-Q4,CA,4398960
2007-Q4,CO,507257
2007-Q4,CT,29000
2007-Q4,DC,67499
2007-Q4,DE,1000
2007-Q4,FL,1189657
2007-Q4,GA,1583824
2007-Q4,HI,21000
2007-Q4,IA,158999
2007-Q4,ID,210194
2007-Q4,IL,1737847
2007-Q4,IN,309824
2007-Q4,KS,121999
2007-Q4,KY,97501
2007-Q4,LA,25000
2007-Q4,MA,317452
2007-Q4,MD,842112
2007-Q4,ME,50900
2007-Q4,MI,677795
2007-Q4,MN,654347
2007-Q4,MO,556571
2007-Q4,MS,49100
2007-Q4,MT,101300
2007-Q4,NC,504050
2007-Q4,ND,37800
2007-Q4,NE,101497
2007-Q4,NH,210905
2007-Q4,NJ,151500
2007-Q4,NM,170763
2007-Q4,NY,430611
2007-Q4,OH,813300
2007-Q4,OK,157745
2007-Q4,OR,636050
2007-Q4,PA,3500
2007-Q4,SC,37499
2007-Q4,TN,26000
2007-Q4,TX,422981
2007-Q4,UT,400385
2007-Q4,VA,220298
2007-Q4,VT,24000
2007-Q4,WA,836959
2007-Q4,WI,353162
2007-Q4,WV,31200
2007-Q4,WY,32799
2008-Q1,AK,27500
2008-Q1,AL,291126
2008-Q1,AR,159700
2008-Q1,AZ,610337
2008-Q1,CA,3704825
2008-Q1,CO,498413
2008-Q1,CT,237024
2008-Q1,DC,157300
2008-Q1,DE,64600
2008-Q1,FL,1833382
2008-Q1,GA,1586522
2008-Q1,HI,138500
2008-Q1,IA,208530
2008-Q1,ID,261699
2008-Q1,IL,1698962
2008-Q1,IN,503202
2008-Q1,KS,221559
2008-Q1,KY,177186
2008-Q1,LA,127150
2008-Q1,MA,552088
2008-Q1,MD,776169
2008-Q1,ME,128508
2008-Q1,MI,872243
2008-Q1,MN,1204127
2008-Q1,MO,621502
2008-Q1,MS,183439
2008-Q1,MT,87300
2008-Q1,NC,758911
2008-Q1,ND,27950
2008-Q1,NE,106644
2008-Q1,NH,130877
2008-Q1,NJ,631833
2008-Q1,NM,90399
2008-Q1,NV,118500
2008-Q1,NY,1340820
2008-Q1,OH,1055924
2008-Q1,OK,164690
2008-Q1,OR,417201
2008-Q1,PA,816029
2008-Q1,RI,40050
2008-Q1,SC,229293
