Loan Date Quarter,ProsperRating,BorrowerRate,BorrowerRate_median,BorrowerRate_025,BorrowerRate_975,BorrowerRate_min,BorrowerRate_max
2013-Q2,A,0.1199,0.1199,0.0949,0.1334,0.0924,0.1334
2013-Q2,AA,0.0799,0.0799,0.0604,0.0869,0.0604,0.0869
2013-Q2,B,0.1559,0.1559,0.1349,0.1819,0.1349,0.1819
2013-Q2,C,0.1979,0.1979,0.1695,0.2319,0.166,0.2319
2013-Q2,D,0.2419,0.2419,0.2085,0.2736,0.2085,0.2736
2013-Q2,E,0.2786,0.2786,0.2549,0.3096,0.2549,0.3096
2013-Q2,HR,0.3134,0.3134,0.2999,0.3134,0.2999,0.3134
2013-Q3,A,0.1139,0.1139,0.093,0.1299,0.0879,0.1299
2013-Q3,AA,0.0766,0.0766,0.0605,0.0869,0.0605,0.0869
2013-Q3,B,0.1465,0.1465,0.1274,0.162,0.1274,0.1819
2013-Q3,C,0.18,0.18,0.1585,0.2045,0.1585,0.2259
2013-Q3,D,0.2225,0.2225,0.201,0.2469,0.201,0.2566
2013-Q3,E,0.2769,0.2769,0.2474,0.2925,0.2474,0.3032
2013-Q3,HR,0.3134,0.3134,0.2924,0.3134,0.2924,0.3134
2013-Q4,A,0.1099,0.1099,0.0879,0.1239,0.0874,0.1239
2013-Q4,AA,0.0769,0.0769,0.0605,0.0809,0.0605,0.0809
2013-Q4,B,0.14,0.14,0.1224,0.1535,0.1224,0.1585
2013-Q4,C,0.1765,0.1765,0.157,0.197,0.1535,0.197
2013-Q4,D,0.215,0.215,0.196,0.2394,0.196,0.2394
2013-Q4,E,0.2694,0.2694,0.2474,0.285,0.2424,0.285
2013-Q4,HR,0.3059,0.3059,0.2874,0.3059,0.2874,0.3059
